id,name,company,contract_period,rental_fee,benefit,product_id,rental_company_id
160,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),지니원(개인전용),60개월,"64,100","365,000",218,1
161,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),LG헬로비전,36개월,"86,900","563,000",218,4
162,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),LG헬로비전,48개월,"66,900","578,000",218,4
163,삼성 QLED 75인치 스탠드형 (KQ75QD68AFXKR_S),LG헬로비전,60개월,"54,900","592,000",218,4
164,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),렌티스,36개월,"150,000","530,000",219,5
165,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),렌티스,48개월,"121,000","570,000",219,5
166,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),렌티스,60개월,"102,000","600,000",219,5
167,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),스마트렌탈,36개월,"129,000","493,000",219,3
168,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),스마트렌탈,48개월,"101,500","518,000",219,3
169,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),스마트렌탈,60개월,"84,000","536,000",219,3
170,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),LG헬로비전,36개월,"147,900","958,000",219,4
171,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),LG헬로비전,48개월,"102,400","884,000",219,4
172,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),LG헬로비전,60개월,"84,400","911,000",219,4
173,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),현대렌탈서비스,36개월,"117,300","621,000",219,2
174,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),현대렌탈서비스,48개월,"93,100","657,000",219,2
175,삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),현대렌탈서비스,60개월,"78,700","693,000",219,2
176,삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),현대렌탈서비스,36개월,"105,300","558,000",220,2
177,삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),현대렌탈서비스,48개월,"83,300","585,000",220,2
178,삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),현대렌탈서비스,60개월,"70,500","621,000",220,2
179,삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),렌티스,36개월,"112,900","399,000",220,5
180,삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),렌티스,48개월,"89,900","423,000",220,5
181,삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),렌티스,60개월,"77,900","458,000",220,5
182,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),지니원(개인전용),36개월,"86,100","564,000",221,1
183,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),지니원(개인전용),48개월,"68,100","546,000",221,1
184,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),지니원(개인전용),60개월,"57,600","526,000",221,1
185,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),LG헬로비전,36개월,"89,900","582,000",221,4
186,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),LG헬로비전,48개월,"70,900","612,000",221,4
187,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),LG헬로비전,60개월,"58,900","636,000",221,4
188,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),현대렌탈서비스,36개월,"79,000","351,000",221,2
189,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),현대렌탈서비스,48개월,"62,400","369,000",221,2
190,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),현대렌탈서비스,60개월,"52,500","387,000",221,2
191,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),스마트렌탈,36개월,"79,900","305,000",221,3
192,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),스마트렌탈,48개월,"63,900","326,000",221,3
193,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),스마트렌탈,60개월,"54,900","350,000",221,3
194,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),BS ON,36개월,"74,500","395,000",221,6
195,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),BS ON,48개월,"59,500","421,000",221,6
196,삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),BS ON,60개월,"50,000","441,000",221,6
197,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),현대렌탈서비스,36개월,"109,500","486,000",222,2
198,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),현대렌탈서비스,48개월,"86,200","504,000",222,2
199,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),현대렌탈서비스,60개월,"72,700","531,000",222,2
200,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),스마트렌탈,36개월,"110,900","424,000",222,3
201,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),스마트렌탈,48개월,"88,500","451,000",222,3
202,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),스마트렌탈,60개월,"75,900","484,000",222,3
203,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),BS ON,36개월,"102,000","540,000",222,6
204,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),BS ON,48개월,"81,500","576,000",222,6
205,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),BS ON,60개월,"70,000","618,000",222,6
206,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),지니원(개인전용),36개월,"110,700","541,000",222,1
207,삼성 The Serif 디자인 UHD TV 65인치 (KQ65LSD01AFXKR),지니원(개인전용),48개월,"87,500","524,000",222,1
